zone,ts,gen_p10,gen_p50,gen_p90
Z1,2025-10-30 00:00:00,179.29909353529354,199.36091859918952,209.97566098595672
Z1,2025-10-30 01:00:00,170.55415146256547,176.81453407891962,180.31973614635376
Z1,2025-10-30 02:00:00,191.61391296879765,205.33900208657644,203.9762859317276
Z1,2025-10-30 03:00:00,156.6061595117194,163.92489762083062,177.85881558169586
Z1,2025-10-30 04:00:00,234.86818822456783,253.98718256457053,254.8030665774818
Z1,2025-10-30 05:00:00,206.6052445181742,212.23832950971064,219.35286596419553
Z1,2025-10-30 06:00:00,153.6707731636341,160.13279523381664,169.11561602895807
Z1,2025-10-30 07:00:00,336.2842825014096,349.4833231434302,364.57401192016164
Z1,2025-10-30 08:00:00,386.6168414488627,411.4759397215975,425.16143863662626
Z1,2025-10-30 09:00:00,623.394688076258,640.978686425266,682.7583498570746
Z1,2025-10-30 10:00:00,651.7440569841019,700.8659494619424,705.9031179888555
Z1,2025-10-30 11:00:00,757.4731415734523,795.5811146961867,813.835625825431
Z1,2025-10-30 12:00:00,734.7264816745392,791.5196437354599,802.3711340520799
Z1,2025-10-30 13:00:00,747.8460818423891,787.4598939186113,799.1411654367344
Z1,2025-10-30 14:00:00,625.167779684771,687.8214602472741,699.419387535854
Z1,2025-10-30 15:00:00,653.1315797416107,659.569953571079,692.9896249926385
Z1,2025-10-30 16:00:00,435.5513381344166,501.90555144152484,525.5955046484466
Z1,2025-10-30 17:00:00,312.8586581378605,352.2373069160864,348.72975261406475
Z1,2025-10-30 18:00:00,334.71367172543603,347.41261442074114,379.86172314736734
Z1,2025-10-30 19:00:00,204.73968748258793,207.95165544253626,221.57289075194274
Z1,2025-10-30 20:00:00,272.8300220705761,272.5623626329034,292.0993447783027
Z1,2025-10-30 21:00:00,256.83129464559613,271.2571118533697,289.5119866613288
Z1,2025-10-30 22:00:00,256.831668552539,268.7314941933121,289.5119866613288
Z1,2025-10-30 23:00:00,334.5290992074415,358.9038959700673,372.9421603828624
Z1,2025-10-31 00:00:00,310.2851916353376,323.43348573563566,355.03864517539876
Z1,2025-10-31 01:00:00,299.0802629014871,299.9572069979433,341.8866498508211
Z1,2025-10-31 02:00:00,337.92643355230564,364.78004432529,388.0886856107062
Z1,2025-10-31 03:00:00,399.87534728599064,425.5977629199668,440.607823000399
Z1,2025-10-31 04:00:00,390.9811937721571,383.7761891576206,410.28791597633244
Z1,2025-10-31 05:00:00,294.0246115745782,315.8700945062276,315.6417503701555
Z1,2025-10-31 06:00:00,481.65464658947997,495.94191794604427,517.3171585280463
Z1,2025-10-31 07:00:00,394.0104165267045,413.17561743095854,414.1162764609668
Z1,2025-10-31 08:00:00,595.9050130842522,667.738359115014,657.9793810048241
Z1,2025-10-31 09:00:00,813.3866897446877,826.0927520901698,812.7098973765851
Z1,2025-10-31 10:00:00,922.6434135933262,990.5312424161798,1056.9436383144462
Z1,2025-10-31 11:00:00,995.8998252632871,1035.3631630361253,1085.837505533932
Z1,2025-10-31 12:00:00,938.068212117432,1014.4737146763539,1068.4945700675858
Z1,2025-10-31 13:00:00,1077.909981191357,1122.1841134536596,1144.5861789282317
Z1,2025-10-31 14:00:00,889.13473034365,912.0610608236922,924.6560825071881
Z1,2025-10-31 15:00:00,757.1874799458828,829.8111635317578,858.2418434531755
Z1,2025-10-31 16:00:00,649.526404939964,742.2716615147882,751.4313380106248
Z1,2025-10-31 17:00:00,480.43510021179895,515.6631746110454,537.5998112722932
Z1,2025-10-31 18:00:00,504.3002436728407,523.4962595110758,557.1630868798188
Z1,2025-10-31 19:00:00,568.0035239656178,581.9186918916785,602.6963605522224
Z1,2025-10-31 20:00:00,399.8779188939403,418.86468626139447,438.77799944687854
Z1,2025-10-31 21:00:00,564.847143217367,590.5385593189994,604.7651625730323
Z1,2025-10-31 22:00:00,555.4512717822398,565.0026096143292,589.4957587829024
Z1,2025-10-31 23:00:00,570.2900987836066,601.0523327471126,609.6895661960164
Z2,2025-10-30 00:00:00,360.58013162343286,379.42328209207193,394.64901848714993
Z2,2025-10-30 01:00:00,451.38879484729307,460.8485205706466,481.13534842900424
Z2,2025-10-30 02:00:00,502.723206281579,513.2510822814293,544.0265303171581
Z2,2025-10-30 03:00:00,393.5889664788913,427.2231474916271,437.77252775468156
Z2,2025-10-30 04:00:00,401.914396361149,427.87064050987664,447.23245719760524
Z2,2025-10-30 05:00:00,478.451439017922,488.43914536095167,497.98191517648553
Z2,2025-10-30 06:00:00,572.9377392603323,590.5148794528823,611.5107772462973
Z2,2025-10-30 07:00:00,657.2427245351006,651.6017001460997,699.6646675303507
Z2,2025-10-30 08:00:00,738.072104590477,833.99319444764,809.944282225942
Z2,2025-10-30 09:00:00,999.2445594013731,1053.9742971087821,1069.501490102576
Z2,2025-10-30 10:00:00,994.9600752207423,963.8063706582778,1001.9133990927772
Z2,2025-10-30 11:00:00,1096.453146108439,1136.482742358161,1174.4979433875656
Z2,2025-10-30 12:00:00,1096.7958240152777,1128.712934339737,1158.4786541945182
Z2,2025-10-30 13:00:00,1186.392665294642,1228.931522204851,1261.9301248962943
Z2,2025-10-30 14:00:00,1118.594029508383,1170.4008693617413,1198.7537550906663
Z2,2025-10-30 15:00:00,813.2590144641413,915.7516937524856,936.9795584049266
Z2,2025-10-30 16:00:00,720.6702017738874,858.9728254473838,847.3430034792956
Z2,2025-10-30 17:00:00,698.7666290168255,701.3655648264141,709.5029262142809
Z2,2025-10-30 18:00:00,664.5597186871199,685.5460866117024,717.0016450396395
Z2,2025-10-30 19:00:00,755.9083605806692,777.4239292004372,792.0660898262284
Z2,2025-10-30 20:00:00,522.148539460209,545.6428806324678,567.8085936211995
Z2,2025-10-30 21:00:00,677.6716916775475,705.8233862072095,739.8734927861723
Z2,2025-10-30 22:00:00,519.6272180287732,564.1275258381472,579.3863233428115
Z2,2025-10-30 23:00:00,668.8806594657,671.9278409998875,707.6668335900964
Z2,2025-10-31 00:00:00,538.9960364603165,563.743143396409,589.7563216862864
Z2,2025-10-31 01:00:00,647.8683308017322,693.7396736931141,716.1848807368123
Z2,2025-10-31 02:00:00,668.4587822511004,686.9892748994785,718.2986496222235
Z2,2025-10-31 03:00:00,751.3468369043222,785.3358511102858,817.8384762852202
Z2,2025-10-31 04:00:00,700.840694659901,733.6588015810578,748.7775851917872
Z2,2025-10-31 05:00:00,708.78539560909,736.7601474796461,754.5627466845755
Z2,2025-10-31 06:00:00,687.1902997149072,722.1766245610978,742.0383596084879
Z2,2025-10-31 07:00:00,835.7212498450718,868.3214296604401,862.5732087576765
Z2,2025-10-31 08:00:00,875.7675434790387,916.2917732127021,928.4715977197682
Z2,2025-10-31 09:00:00,1018.3748394071989,1098.0379909788132,1154.621128764773
Z2,2025-10-31 10:00:00,1164.0002176837183,1214.6924557213686,1267.541665253284
Z2,2025-10-31 11:00:00,1164.6954791667074,1193.7019585111286,1239.75801578544
Z2,2025-10-31 12:00:00,1206.939971636663,1313.7590285554982,1346.957592643273
